Cycle,Cost,deadline,Element: 1,Element: 2,Element: 3,Element: 4,Element: 5,Element: 6,Element: 7,Element: 8,Element: 9,
34,49140.893817,10344.165944,3650.011633,2914.047958,2388.923465,1375.425317,1867.654374,2326.265879,2710.629668,3084.221969,4394.812220,
35,11096.177047,5001.738466,2840.787529,1869.521389,250.104758,244.791526,595.488207,824.528552,4353.083102,N/A,N/A,
36,31436.269469,10378.491445,4551.854899,3734.010001,2104.422948,628.623527,2568.782861,4138.782393,4959.616891,N/A,N/A,
37,24092.035086,7561.551649,3501.396893,2576.567598,800.928392,421.545936,53.540719,272.891404,1899.204164,3417.817641,4809.996633,
38,6877.722710,5074.129151,4734.025643,427.783522,43.872792,535.685679,4983.909412,N/A,N/A,N/A,N/A,
39,25690.848089,6810.091920,3035.499475,1525.760443,1093.997368,1047.216770,259.214196,1371.694366,1520.093865,2090.146994,3419.636441,
40,18532.806273,5670.328332,2461.869933,1172.511464,1029.813205,866.707697,805.533124,994.817048,1064.995227,4363.971215,N/A,
41,19508.904584,6000.633556,2936.525358,2171.136647,1191.933586,1230.068789,3283.939745,4097.890836,N/A,N/A,N/A,
42,15464.526802,6800.857018,4650.544262,967.951429,844.530029,179.815466,273.568692,3436.921224,4573.520395,N/A,N/A,
43,22812.978048,5872.760233,2562.602137,1557.819254,1524.199171,403.873134,1108.141526,1762.976528,2020.763951,2880.650534,N/A,
44,25291.808124,9603.790127,4412.640844,2273.050062,1937.429366,912.228350,29.502949,1216.932197,4000.047156,4638.311583,N/A,
45,38455.246141,10237.127933,3651.143952,3086.647766,2640.052868,684.493042,656.189679,746.518341,3072.151647,4147.108846,4432.109426,
46,16172.895632,6022.806884,4361.081972,1980.467600,148.181837,885.608526,2467.395308,4733.113742,N/A,N/A,N/A,
47,16469.616081,6226.927206,3751.703699,1507.702193,879.401641,739.183076,3248.696452,4488.168474,N/A,N/A,N/A,
48,34143.854096,7060.748445,3759.481636,1982.515613,1226.166035,83.170479,2378.684355,2479.279618,4089.723363,4327.471973,N/A,
49,47775.584267,11432.084335,4359.918688,4230.407697,2281.022674,1426.421729,2407.566868,2862.923660,4907.884624,4937.685433,N/A,
50,30351.011885,10158.531073,4776.510556,3096.282640,1868.058574,674.544223,2616.377551,4199.994432,4988.992992,N/A,N/A,
51,47745.030785,9993.090932,3469.690641,2965.034148,1935.377254,1535.378428,1177.001433,2642.947145,2818.356108,3798.557498,3881.738234,
52,31940.101241,10417.758351,4034.089071,3524.061813,1932.593637,1789.104618,2087.518103,3778.518726,4501.855752,N/A,N/A,
53,20897.490053,6957.699784,3475.623593,1435.814975,1242.538743,987.263982,1390.404187,3003.098003,3653.855569,N/A,N/A,
54,22985.672558,5957.597657,4131.472670,1216.143738,546.887470,704.019837,2145.679503,3650.002066,4185.725670,N/A,N/A,
55,29013.230857,6023.211660,2859.676948,1299.588953,1108.950465,759.458871,1004.252843,1067.522887,1711.842910,2514.583727,3747.921687,
56,33833.436147,12184.412007,4988.272994,4950.592123,1281.101157,650.125380,49.403830,3662.352913,4294.404854,4596.781803,N/A,
57,16603.323493,6010.911806,2540.898446,2102.397372,1342.376494,763.635633,2418.742102,4687.782032,N/A,N/A,N/A,
58,31493.340676,9443.879841,3548.378075,3368.061365,2124.148596,401.453725,325.385612,1423.425178,1651.270056,3388.407515,3623.205052,
59,25095.594452,8268.904606,3490.791122,3168.441042,970.289270,468.390333,211.302118,2478.550299,2733.794001,4832.956502,N/A,
60,16719.450032,5912.585260,3066.341677,1862.781567,908.683201,1657.453212,2423.295390,3220.351646,N/A,N/A,N/A,
61,15313.029006,5126.555763,3154.676347,1891.238694,557.157663,3870.481337,4089.995373,N/A,N/A,N/A,N/A,
62,9753.486637,3716.052231,3203.636725,476.651580,930.589122,1566.947449,3386.936721,N/A,N/A,N/A,N/A,
63,30569.986897,10487.391765,4366.920916,3517.672571,1702.771496,1200.161871,2208.037493,4093.394768,4935.248617,N/A,N/A,
64,22955.614811,8366.234549,3976.821894,2882.810346,1293.479663,76.210857,673.880368,1135.688837,3330.811417,4493.001751,N/A,
65,18640.000128,6849.421171,4386.291980,1666.518298,851.856379,961.142799,3713.106185,4849.637329,N/A,N/A,N/A,
66,7632.252489,4921.164720,4177.610230,561.342038,50.419882,1796.161302,3377.748081,N/A,N/A,N/A,N/A,
67,17858.769210,5697.332321,2934.299559,1389.303027,969.121042,419.116155,1187.309796,2902.650311,3892.138162,N/A,N/A,
68,31477.795902,9353.033969,4417.379319,2175.096818,1822.387323,568.197502,376.057179,1230.416437,2049.460774,3287.667334,4797.636299,
69,29054.999222,9760.925291,4830.072201,3551.045179,1294.588451,210.972263,933.864388,1899.622979,4050.695249,4494.637760,N/A,
70,29712.836214,9769.995636,4841.618903,3648.861128,1766.400245,2969.406620,3868.061154,4913.063150,N/A,N/A,N/A,
71,18473.982221,5499.286508,3175.314969,2773.427373,154.292155,4469.364101,4950.582677,N/A,N/A,N/A,N/A,
